Name,price,type,bairro,address,url,latitude,longitude,tipo_novo
Le Pain,50,"Padaria, Brasileira",Pinheiros,"Avenida Pedroso de Morais, 1037, Pinheiros, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/le-pain-pinheiros-zona-oeste,-23.5615000000,-46.6930000000,Padaria
Bar da Dida,100,"Brasileira, Comida de bar",Jardim Paulista,"Rua Melo Alves, 98, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/bar-da-dida-jardim-paulista,-23.5590000000,-46.6683333333,Comida de bar
Costellone Villares,120,Churrasco,Santana,"Avenida Luiz Dumont Villares, 542, Jardim São Paulo, Santana, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/costellone-villares-santana,-23.4973580000,-46.6123160000,Churrasco
Dri Dri,30,Gelados,Jardim Paulista,"Rua Padre João Manuel, 903, Cerqueira Cásear, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/dri-dri-jardim-paulista,-23.5649710000,-46.6652990000,Sobremesa
Osnir Hamburguer,60,Americana,Saúde,"Avenida Jabaquara, 538, Saúde, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/osnir-hamburguer-sa%C3%BAde-zona-sul,-23.6091666667,-46.6376666667,Americana
Bourbon Street,100,"Internacional, Comida de bar",Moema,"Rua dos Chanés, 127, Moema, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/bourbon-street-moema,-23.6133333333,-46.6686666667,Comida de bar
Tempranillo Vinho e Cozinha,200,"Espanhola, Italiana, Marisqueira",Moema,"Rua Jacques Félix, 381, Vila Nova Conceição, Moema, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/tempranillo-vinho-e-cozinha-moema,-23.5916210000,-46.6712630000,Italiana
Hamburguinho,70,"Fast food, Americana",Itaim Bibi,"Avenida Brigadeiro Faria Lima, 2883, Itaim Bibi, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/hamburguinho-itaim-bibi,-23.5816666667,-46.6841666667,Americana
Cateto,80,"Comida de bar, Bebidas",Pinheiros,"Rua Francisco Leitão, 272, Pinheiros, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/cateto-pinheiros,-23.5622410000,-46.6804220000,Comida de bar
JoJo Ramen,80,"Japonesa, Asiática",Vila Mariana,"Rua Doutor Rafael de Barros, 262, Paraíso, Vila Mariana, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/jojo-ramen-vila-mariana,-23.5727840000,-46.6468200000,Asiática
Canvas - Hilton Morumbi,200,Brasileira,Itaim Bibi,"Hilton Morumbi, Avenida das Nações Unidas, 12901, Itaim Bibi, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/canvas-hilton-morumbi-itaim-bibi,-23.6037580000,-46.6959480000,Brasileira
Bendito Bar,60,Brasileira,Vila Andrade,"Rua Doutor Fonseca Brasil, 289, Vila Andrade, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/bendito-bar-vila-andrade-zona-sul,-23.6301666667,-46.7341666667,Brasileira
Kraut,60,"Alemã, Bebidas",Santa Cecília,"Rua Barão de Tatuí, 405, Vila Buarque, Santa Cecília, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/kraut-santa-cec%C3%ADlia,-23.5395280000,-46.6541660000,Bebidas
Ofner,35,"Pastelaria, Sobremesa",Jardim Paulista,"Alameda Campinas, 1160, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/ofner-jardim-paulista-zona-oeste,-23.5704060000,-46.6575570000,Pastelaria
Marie Madeleine,40,"Patisserie, Padaria, Sobremesa",Moema,"Rua Afonso Brás, 511, Vila Nova Conceição, Moema, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/marie-madeleine-moema,-23.5948333333,-46.6691666667,Padaria
Ceci,50,Padaria,Saúde,"Avenida Afonso Mariano Fagundes, 1349, Planalto Paulista, Saúde, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/ceci-sa%C3%BAde,-23.6193333333,-46.6503333333,Padaria
Espaço TW (The Week),80,Só bebidas,Lapa,"Rua Guaicurus, 340, Lapa, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/espa%C3%A7o-tw-the-week-lapa,-23.5230611111,-46.6883055556,Bebidas
Oscar Bistrô Café,100,Pastelaria,Jardim Paulista,"Rua Oscar Freire, 727 A, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/oscar-bistr%C3%B4-caf%C3%A9-jardim-paulista,-23.5641790000,-46.6678600000,Pastelaria
Farinata,70,Italiana,República,"Avenida Ipiranga, 924, República, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/farinata-rep%C3%BAblica-centro,-23.5420000000,-46.6398333333,Italiana
La Misión,60,Mexicana,Santa Cecília,"Rua Brigadeiro Galvão, 639, Santa Cecília, São Paulo 10000",https://www.zomato.com/pt/sao-paulo-sp/la-misi%C3%B3n-santa-cec%C3%ADlia,-23.5300000000,-46.6573333333,Mexicana
Cafezal Cafés Especiais,35,Pastelaria,Sé,"Rua Álvares Penteado, 112, Sé, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/cafezal-caf%C3%A9s-especiais-s%C3%A9-centro,-23.5478333333,-46.6315000000,Pastelaria
Senhor Pão,80,Padaria,Perdizes,"Rua Monte Alegre, 117, Perdizes, São Paulo 10000",https://www.zomato.com/pt/sao-paulo-sp/senhor-p%C3%A3o-perdizes,-23.5318870000,-46.6660710000,Padaria
Jabuti Chopperia,65,"Brasileira, Marisqueira",Vila Mariana,"Avenida Conselheiro Rodrigues Alves, 1315, Vila Mariana, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/jabuti-chopperia-vila-mariana-zona-sul,-23.5885000000,-46.6481666667,Brasileira
Lanchonete do Tio Zé,55,Brasileira,Cambuci,"Rua Ouvidor Portugal, 554, Vila Monumento, Cambuci, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/lanchonete-do-tio-ze-cambuci-centro,-23.5723500000,-46.6128694444,Brasileira
Blooming Burger,60,"Hamburgueria, Americana",Morumbi,"Avenida Giovani Gronchi, 3303, Morumbi, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/blooming-burger-morumbi-zona-sul,-23.6102694444,-46.7270444444,Hamburgueria
El Guatón,80,"Chilena, Comida de bar",Pinheiros,"Rua Arthur de Azevedo, 906, Pinheiros, São Paulo 10000",https://www.zomato.com/pt/sao-paulo-sp/el-guaton-1-pinheiros-zona-oeste,-23.5618333333,-46.6803333333,Comida de bar
John Hooker,70,"Americana, Fast food, Hamburgueria",Consolação,"Rua Fernando de Albuquerque, 89, Consolação, São Paulo 10000",https://www.zomato.com/pt/sao-paulo-sp/john-hooker-consola%C3%A7%C3%A3o-centro,-23.5543333333,-46.6575000000,Hamburgueria
Nostra Arte,40,Pizza,Vila Sônia,"Rua Cláudio Franchi, 54, Vila Sônia, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/nostra-arte-vila-s%C3%B4nia,-23.5991990000,-46.7395040000,Pizza
Pão com Manteiga,120,Contemporânea,Jardim Paulista,"Alameda Campinas, 952, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/pao-com-manteiga-jardim-paulista,-23.5689360000,-46.6563400000,Contemporânea
Vera Cruz,120,"Brasserie, Padaria, Pizza, Sobremesa",Tatuapé,"Avenida Celso Garcia, 3772, Tatuapé, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/vera-cruz-tatuap%C3%A9-zona-leste,-23.5352780000,-46.5758300000,Padaria
Mangiare,100,Italiana,Vila Leopoldina,"Avenida Imperatriz Leopoldina, 681, Vila Leopoldina, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/mangiare-vila-leopoldina-zona-oeste,-23.5284590000,-46.7330480000,Italiana
La Caballeriza,150,Argentina,Jardim Paulista,"Alameda Campinas, 530, Jardim Paulista, São Paulo 10000",https://www.zomato.com/pt/sao-paulo-sp/la-caballeriza-jardim-paulista-zona-oeste,-23.5658333333,-46.6516666667,Argentina
Di Cunto,90,Italiana,Mooca,"Rua Borges de Figueiredo, 61, Mooca, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/di-cunto-1-mooca-zona-leste,-23.5554310000,-46.6076120000,Italiana
Zero Grau,100,Comida de bar,Mooca,"Rua Madre de Deus, 1726, Mooca, São Paulo 10000",https://www.zomato.com/pt/sao-paulo-sp/zero-grau-mooca,-23.5678333333,-46.5880000000,Comida de bar
Bistrô 28,100,Brasileira,Vila Mariana,"Rua Joaquim Távora, 1068, Vila Mariana, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/bistro-28-vila-mariana-zona-sul,-23.5868333333,-46.6426666667,Brasileira
Huaco,100,Peruana,Vila Madalena,"Rua Fradique Coutinho, 832, Vila Madalena, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/huaco-vila-madalena,-23.5598640000,-46.6887110000,Peruana
Balcão,80,"Brasileira, Comida de bar",Jardim Paulista,"Rua Doutor Melo Alves, 150, Cerqueira César, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/balcao-jardim-paulista,-23.5590000000,-46.6688333333,Comida de bar
Numero,180,"Brasileira, Comida de bar",Jardim Paulista,"Rua da Consolação, 3585, Cerqueira César, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/numero-jardim-paulista-zona-oeste,-23.5621780000,-46.6698180000,Comida de bar
La Cocotte,250,Francesa,Jardim Paulista,"Rua Ministro Rocha Azevedo, 1153, Jardim Paulista, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/la-cocotte-jardim-paulista-zona-oeste,-23.5665000000,-46.6650000000,Francesa
Bawarchi,60,Indiana,Vila Mariana,"Rua Humberto I, 281, Vila Mariana, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/bawarchi-vila-mariana,-23.5826110000,-46.6425890000,Indiana
Stunt Burger,50,"Hamburgueria, Fast food, Americana",Morumbi,"Rua José Jannarelli, 426, Vila Progredior, Morumbi, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/stunt-burger-morumbi,-23.5884520000,-46.7178440000,Hamburgueria
The Orleans,140,"Brasileira, Comida de bar",Vila Madalena,"Rua Girassol, 396, Vila Madalena, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/the-orleans-vila-madalena,-23.5551666667,-46.6893333333,Comida de bar
Cuordicrema,30,Sobremesa,Itaim Bibi,"Rua Manuel Guedes, 349, Itaim Bibi, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/cuordicrema-itaim-bibi-zona-oeste,-23.5836666667,-46.6791666667,Sobremesa
Croasonho,50,"Sobremesa, Fast food, Brasileira",Pinheiros,"Avenida Pedroso de Moraes, 927, Pinheiros, São Paulo",https://www.zomato.com/pt/sao-paulo-sp/croasonho-pinheiros,-23.5624260000,-46.6926300000,Brasileira
